id,category,severity,location,comments,startDateTime,endDateTime,lastModDateTime,point
TIMS-224002,Works,Minimal,"[A215] WALWORTH ROAD (SE1 ,SE17 ) (Southwark)",[A215] Walworth Road (Both directions) at the junction of Heygate Street - Lane restrictions in place to facilitate Thames Water Works. ,2026-02-06T22:16:00Z,2026-02-10T23:59:00Z,,"[-0.097977,51.49183]"
TIMS-222492,Works,Minimal,"[A4020] UXBRIDGE ROAD (UB1 ,UB2 ) (Ealing)",[A4020] Uxbridge Road (Eastbound) at the junction of [A4127] Greenford Road - Lane restriction in place to facilitate works. ,2026-01-12T08:00:00Z,2026-05-29T17:00:00Z,,"[-0.355324,51.509597]"
TIMS-223701,Works,Minimal,"[A11] BOW ROAD (E15 ,E3 ) (Tower Hamlets)",[A11] Bow Road (Westbound) at the junction of Kitcat Terrace - Lane one (of one) is closed due to Thames Water works. ,2026-02-02T16:57:00Z,2026-02-11T23:59:00Z,,"[-0.020187,51.528028]"
TIMS-219173,Works,Minimal,[A219] WOOD LANE (W12 ) (Hammersmith & Fulham),[A219] Wood Lane (Both directions) at the junction of [A40] Westway - Various carriageway and footway restrictions in place to facilitate Cycle Superhighway works.,2025-10-29T00:01:00Z,2026-02-27T23:59:00Z,,"[-0.226027,51.514803]"
TIMS-218924,Works,Minimal,[A206] WOOLWICH CHURCH STREET (SE18 ) (Greenwich),[A206] Woolwich Church Street (Both directions) at the junction of [A206] Woolwich Ferry Roundabout - Various restrictions in place to facilitate cycle lane works.,2025-10-24T16:30:00Z,2027-03-28T22:59:00Z,,"[0.059826,51.493773]"
TIMS-217965,Works,Minimal,"[A4] PALL MALL (SW1A ,SW1Y ) (Westminster)",[A4] Pall Mall (Eastbound) between [A4] Haymarket and [A4] Waterloo Place - Road closed to facilitate utility works.,2026-01-27T08:00:00Z,2026-03-02T17:00:00Z,,"[-0.131703,51.507524]"
TIMS-223674,Works,Minimal,"[A308] FULHAM ROAD (SW10 ,SW3 ,SW6 ) (Hammersmith & Fulham,Kensington & Chelsea)",[A308] Fulham Road (All directions) at the junction of [A3220] Gunter Grove - Four-way temporary traffic signals in place due to Thames Water works. ,2026-02-02T09:00:00Z,2026-02-20T17:00:00Z,,"[-0.185431,51.483332]"
TIMS-222771,Works,Minimal,[A124] BARKING ROAD (E13 ) (Newham),[A124] Barking Road (Both directions) at the junction of Liddon Road - Temporary traffic signals in place for Thames Water works.,2026-01-14T20:57:00Z,2026-11-30T20:00:00Z,,"[0.024885,51.523405]"
TIMS-217012,Works,Minimal,[A206] WOOLWICH ROAD (SE7 ) (Greenwich),[A206] Woolwich Road (Both directions) between Anchor & Hope Lane and John Wilson Street. - Lane restrictions to facilitate the construction of a segregated cycle lane. ,2025-09-28T23:01:00Z,2026-07-01T22:59:00Z,,"[0.034528,51.488131]"
TIMS-220833,Works,Minimal,"[A501] PENTONVILLE ROAD (EC1V ,N1 ,WC1X ) (Camden,Islington)",[A501] Pentonville Road (Eastbound) between Cynthia Street and Rodney Street - Lane one (of two) closure to be implemented to facilitate Cadent Gas works.,2026-01-19T08:00:00Z,2026-02-16T23:59:00Z,,"[-0.113699,51.531458]"
TIMS-223820,Works,Minimal,[A2] NEW CROSS ROAD (SE14 ) (Lewisham),[A2] New Cross Road (Westbound) at the junction of Pepys Road - Lane restrictions are in place to facilitate a gas main replacement.,2026-02-09T08:00:00Z,2026-02-20T16:00:00Z,,"[-0.045815,51.474271]"
TIMS-224112,Works,Minimal,"[A210] ELTHAM ROAD (SE12 ,SE9 ) (Greenwich)",[A210] Eltham Road (Westbound) at the junction of Eltham Green Road - Traffic management and westbound bus lane closure to facilitate SGN gas works. ,2026-02-09T12:47:00Z,2026-02-12T23:59:00Z,,"[0.031672,51.452798]"
TIMS-223979,Works,Minimal,[A205] BROWNHILL ROAD (SE6 ) (Lewisham),[A205] Brownhill Road (Westbound) at the junction of Laleham Road - Lane restrictions in place to facilitate works by SGN.,2026-02-06T10:46:00Z,2026-02-11T23:59:00Z,,"[-0.013114,51.445395]"
TIMS-223857,Works,Minimal,[A205] WALDRAM PARK ROAD (SE23 ) (Lewisham),[A205] Waldram Park Road (Westbound) at the junction of Westbourne Drive - Nearside carriageway restrictions to facilitate essential Thames Water repair works to a burst main. Traffic Management will remain in place 24/7 until repaired. ,2026-02-04T17:24:00Z,2026-02-12T23:59:00Z,,"[-0.050933,51.439992]"
TIMS-219854,Works,Minimal,[A21] RUSHEY GREEN (SE6 ) (Lewisham),[A21] Rushey Green (Southbound) at the junction of Davenport Road - Lane closure to facilitate SGN Footway & Carriageway works. ,2026-01-05T08:00:00Z,2026-02-12T23:59:00Z,,"[-0.017042,51.449967]"
TIMS-223595,Works,Minimal,[A21] RUSHEY GREEN (SE6 ) (Lewisham),[A21] Rushey Green (Southbound) at the junction of Rosenthal Road - Bus Lane restriction in place due to SGN gas main replacement works. Also buses are not able to use Rosenthal Road due to further restrictions. ,2026-02-02T09:00:00Z,2026-03-22T17:00:00Z,,"[-0.017439,51.448454]"
TIMS-223781,Works,Minimal,"[A2216] LORDSHIP LANE (SE21 ,SE22 ,SE23 ) (Lewisham,Southwark)",[A2216] Lordship Lane (Both directions) at the junction of [A205] Dulwich Common - The pavement is partially conned off following earlier tree pruning. ,2026-02-09T08:00:00Z,2026-02-10T18:00:00Z,,"[-0.068192,51.443827]"
TIMS-222704,Works,Minimal,"[A3] BATTERSEA RISE (SW11 ,SW18 ) (Wandsworth)",[A3] Battersea Rise (Both directions) at the junction of Chivalry Road - Temporary traffic signals in operation to facilitate works.,2026-01-14T07:00:00Z,2026-03-14T23:59:00Z,,"[-0.172675,51.459381]"
TIMS-223821,Works,Minimal,"[A21] KENTISH WAY (BR1 ,BR2 ) (Bromley)",[A21] Kentish Way (Northbound) at the junction of Stockwell Close - There is a northbound lane 2 restriction for utility works.,2026-02-04T12:15:00Z,2026-02-10T23:59:00Z,,"[0.018716,51.404635]"
TIMS-221519,Works,Minimal,[A214] TOOTING BEC GARDENS (SW16 ) (Lambeth),[A214] Tooting Bec Gardens (Eastbound) at the junction of Fernwood Avenue - Eastbound Carriageway incursion for Thames Water works.,2026-02-09T07:00:00Z,2026-02-12T23:59:00Z,,"[-0.133625,51.43004]"
TIMS-223373,Works,Minimal,[A23] BRIXTON ROAD (SW9 ) (Lambeth),[A23] Brixton Road (Southbound) at the junction of Beehive Place - Lane one (of two) is closed due to electrical works.,2026-01-27T15:00:00Z,2026-02-11T23:59:00Z,,"[-0.114526,51.463856]"
TIMS-223651,Works,Minimal,[A23] PURLEY WAY (CR0 ) (Croydon),[A23] Purley Way (Southbound) at the junction of [A232] Croydon Road - Lane one (of two) is closed to facilitate UKPN works. ,2026-02-01T12:30:00Z,2026-02-11T23:59:00Z,,"[-0.118651,51.367196]"
TIMS-223771,Works,Minimal,"[A24] BALHAM HIGH ROAD (SW12 ,SW17 ) (Wandsworth)",[A24] Balham High Road (Southbound) at the junction of Marius Road - The footpath and cycle lane are partially blocked to facilitate nightly telecommunication works. ,2026-02-10T20:00:00Z,2026-02-11T05:00:00Z,,"[-0.155608,51.439832]"
TIMS-223776,Works,Minimal,[A3205] BATTERSEA PARK ROAD (SW11 ) (Wandsworth),[A3205] Battersea Park Road (Both directions) at the junction of Culvert Road - Two way temporary traffic signals have been implemented to facilitate emergency Cadent Gas works. ,2026-02-03T09:18:00Z,2026-02-10T23:59:00Z,,"[-0.160429,51.473574]"
TIMS-209852,Works,Minimal,"[A3205] NINE ELMS LANE (SW11 ,SW8 ) (Lambeth,Wandsworth)",[A3205] Nine Elms Lane (Both directions) at the junction of Ponton Road - Lane closures in place to facilitate Urban Realm Works.,2025-04-28T07:00:00Z,2026-10-06T04:00:00Z,,"[-0.133424,51.483087]"
TIMS-223983,Works,Minimal,"HOOK RISE SOUTH (KT6 ,KT9 ) (Kingston upon Thames)",Hook Rise South (Westbound) between Ashcroft Road and Oakcroft Road - Lane one is closed to facilitate repairs to gas leak.,2026-02-06T11:02:00Z,2026-02-13T23:59:00Z,,"[-0.293397,51.373234]"
TIMS-223303,Works,Minimal,"[A3205] NINE ELMS LANE (SW11 ,SW8 ) (Lambeth,Wandsworth)",[A3205] Nine Elms Lane (Westbound) at the junction of [A3036] Wandsworth Road - Westbound lane closure to be implemented to facilitate Cadent Gas works.,2026-02-02T07:00:00Z,2026-02-13T12:00:00Z,,"[-0.129423,51.484332]"
TIMS-223990,Works,Minimal,BURLINGTON LANE (W4 ) (Hounslow),Burlington Lane (Both directions) at the junction of [A316] Great Chertsey Road - Burlington Road is closed in both directions with restrictions in place on Great Chertsey Road due to junction improvement work.,2026-02-09T07:30:00Z,2026-03-13T16:00:00Z,,"[-0.257761,51.48245]"
TIMS-223987,Works,Minimal,"[A3220] WARWICK ROAD (SW10 ,SW5 ,W14 ,W8 ) (Kensington & Chelsea)",[A3220] Warwick Road (Northbound) at the junction of Nevern Square - Lane one (of three) closed to facilitate carriageway frame and  cover repair work.,2026-02-06T12:29:00Z,2026-02-10T23:59:00Z,,"[-0.197557,51.491118]"
TIMS-221598,Works,Minimal,"[A4] GREAT WEST ROAD (TW3 ,TW5 ,TW7 ) (Hounslow)",[A4] Great West Road (Westbound)  Prior to Gresham Road - Lane closure to facilitate utility works.,2026-02-09T08:00:00Z,2026-03-08T18:00:00Z,,"[-0.355593,51.480067]"
TIMS-223898,Asset issues,Minimal,[A40] WESTERN AVENUE (W3 ) (Ealing),"[A40] Western Avenue (Westbound) at the junction of Alliance Road - The traffic signals have failed following an earlier collision. As a result, the eastbound filter lane, for traffic making U-turns, has been closed for safety reasons.",2026-02-05T12:25:29Z,2026-02-05T23:59:59Z,,"[-0.27319,51.526073]"
TIMS-224102,Works,Minimal,"[A406] EDGWARE ROAD (NW10 ,NW2 ,NW9 ) (Barnet,Brent)",[A406] Edgware Road (Northbound) at the junction of Oxgate Lane - Lane restriction are in place to facilitate Cadent Gas works. ,2026-02-09T16:20:00Z,2026-02-13T23:59:00Z,,"[-0.228843,51.567972]"
TIMS-223796,Works,Minimal,"[A41] PARK ROAD (NW1 ,NW8 ) (Westminster)",[A41] Park Road (Southbound) at the junction of Grove Gardens - Southbound lane one (of two) closure to be implemented to facilitate Cadent Gas works. ,2026-02-03T08:00:00Z,2026-02-12T23:59:00Z,,"[-0.166221,51.528809]"
TIMS-223907,Works,Minimal,[A1] WATFORD WAY (NW7 ) (Barnet),[A1] Watford Way (Northbound) at the junction of [B1461] Daws Lane - Lane one of three is closed to facilitate maintenance works.,2026-02-05T14:00:00Z,2026-02-14T05:00:00Z,,"[-0.242974,51.615772]"
TIMS-222666,Works,Minimal,"[A41] FINCHLEY ROAD (NW2 ,NW3 ) (Barnet,Camden)",[A41] Finchley Road (Northbound) at the junction of [B510] Fortune Green Road - Lane restrictions northbound for Thames Water works.,2026-02-02T07:00:00Z,2026-02-13T17:00:00Z,,"[-0.195927,51.557452]"
TIMS-224006,Works,Minimal,"[A10] BISHOPSGATE (EC2M ,EC2N ,EC2R ,EC3V ) (City of London)",[A10] Bishopsgate (Southbound) between Threadneedle Street and Cornhill - Overnight road closure for resurfacing works.,2026-02-09T20:00:00Z,2026-02-10T06:00:00Z,,"[-0.08399,51.513843]"
TIMS-223978,Works,Minimal,"[A5] EDGWARE ROAD (NW1 ,W1H ,W2 ) (Westminster)",[A5] Edgware Road (Northbound) between Connaught Street and Kendal Street - Lane one (of two) closed to facilitate urgent water leak repair work.,2026-02-06T09:28:00Z,2026-02-13T23:59:00Z,,"[-0.163427,51.515335]"
TIMS-222585,Works,Minimal,"[A501] CITY ROAD (EC1V ,EC1Y ,EC2A ,N1 ) (Hackney,Islington)",[A501] City Road (Both directions) at the junction of [A501] Finsbury Square - Temporary traffic signals in use to facilitate resurfacing works.,2026-01-27T08:00:00Z,2026-02-17T17:00:00Z,,"[-0.087056,51.521516]"
TIMS-223394,Works,Minimal,[A4000] WALES FARM ROAD (W3 ) (Ealing),[A4000] Wales Farm Road (Southbound) at the junction of Jenner Avenue - Bus lane closure to facilitate electrical replacement works.,2026-01-28T08:00:00Z,2026-03-27T23:59:00Z,,"[-0.26143,51.520623]"
TIMS-215004,Works,Minimal,"DU CANE ROAD (W12 ,W3 ) (Hammersmith & Fulham)",Du Cane Road (Both directions) at the junction of Hilary Road - Two-way temporary traffic signals are in operation for bridge works. ,2025-08-26T07:00:00Z,2026-02-27T18:00:00Z,,"[-0.246013,51.515377]"
TIMS-223573,Works,Minimal,"[A4020] UXBRIDGE ROAD (UB1 ,W7 ) (Ealing)",[A4020] Uxbridge Road (All directions) at the junction of Broadway - Temporary lights in place to facilitate emergency gas works. ,2026-01-30T16:30:00Z,2026-02-12T23:59:00Z,,"[-0.337988,51.508761]"
TIMS-222627,Works,Minimal,"[A40] NEWGATE STREET (EC1A ,EC2V ,EC4M ) (City of London)",[A40] Newgate Street (Westbound) at the junction of Old Bailey - The road is closed westbound and temporary traffic signals for emergency gas works.,2026-01-23T06:30:00Z,2026-02-13T17:00:00Z,,"[-0.101794,51.516125]"
TIMS-220134,Works,Minimal,"[A206] WOOLWICH CHURCH STREET (SE18 ,SE7 ) (Greenwich)",[A206] Woolwich Church Street (Westbound) at the junction of Warspite Road - Lane restriction due to ongoing cycle scheme works.,2025-11-28T17:00:00Z,2026-03-28T23:59:00Z,,"[0.045364,51.492717]"
TIMS-222333,Works,Minimal,"[A2043] KINGSTON ROAD (KT1 ,KT3 ) (Kingston upon Thames)",[A2043] Kingston Road (Both directions) at the junction of King Henrys Road - Two and three way temporary traffic signals to be implemented to facilitate cycle lane construction carried out by Royal Borough of Kingston. ,2026-01-26T04:00:00Z,2027-01-24T02:00:00Z,,"[-0.280165,51.405675]"
TIMS-223956,Works,Minimal,[A212] WHITEHORSE ROAD (CR0 ) (Croydon),[A212] Whitehorse Road (Southbound) between [A213] Windmill Road and Devonshire Road - The southbound carriageway is closed for utility works.,2026-02-06T09:30:00Z,2026-02-11T19:00:00Z,,"[-0.096793,51.386456]"
TIMS-223735,Works,Minimal,"[A3212] WHITEHALL (SW1A ,WC2N ) (Westminster)",[A3212] Whitehall (Northbound) at the junction of Horse Guards Avenue - The road is closed between Parliament Square to Trafalgar Square to facilitate emergency gas works.,2026-02-03T10:00:00Z,2026-02-11T23:59:00Z,,"[-0.126379,51.504854]"
TIMS-223778,Works,Minimal,THE GREEN (UB2 ) (Ealing),The Green (Both directions) at the junction of [A3005] Merrick Road - Lane closure in place with temporary traffic signals for Borough works.,2026-02-03T08:00:00Z,2026-02-27T16:00:00Z,,"[-0.37932,51.504829]"
TIMS-223860,Works,Minimal,"[A4020] BROADWAY (W13 ,W7 ) (Ealing)",[A4020] Broadway (Both directions) at the junction of Leeland Terrace - Temporary traffic signals in operation for Thames Water sewer upgrade works.,2026-02-08T09:00:00Z,2026-03-09T18:00:00Z,,"[-0.321407,51.510501]"
TIMS-221622,Works,Minimal,"[A222] CHISLEHURST ROAD (DA14 ) (Bexley,Bromley)",[A222] Chislehurst Road (Southbound) at the junction of Frognal Avenue - A lane closure is in place to facilitate Thames Water works to a water main.,2026-01-05T08:00:00Z,2026-02-16T17:00:00Z,,"[0.099507,51.420327]"
TIMS-223823,Works,Minimal,"[A235] BRIGHTON ROAD (CR0 ,CR2 ) (Croydon)",[A235] Brighton Road (Southbound) at the junction of Upland Road - Lane restrictions are in place to facilitate UKPN works.,2026-02-09T08:00:00Z,2026-02-20T18:00:00Z,,"[-0.097927,51.360311]"
